app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,0.414318296,0.532337741,0.502605509,1.123864066,0.483950834,0.475159277,0.649986754,0.428453111,0.609909217,0.534725838,0.54528017,0.599148473
alpha,0.332976114,0.34128112,0.376689538,0.778369224,0.225548838,0.33159754,0.419611217,0.357215716,0.417423987,0.266244248,0.315170919,0.42419705
box,0.352776343,0.388040508,0.423752275,1.80941112,0.228607301,0.318302914,0.748084349,0.433201549,0.466441639,0.364652585,0.336196231,0.500182076
gaussian,0.351797764,0.391881128,0.460088915,2.345467465,0.351302651,0.229232535,0.890317308,0.331679049,0.536047471,0.236224391,0.314137947,0.427476696
