app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,470273734,557759346,584144808,1673797187,546143761,473544626,896061609,519974278,723152136,513177073,555354337,737148440
alpha,290502757,326257044,371184694,1225018083,285522807,298605103,569367589,341362490,446935894,317084531,293306736,375054807
box,280835686,331052037,427433176,3034683453,277167262,314575837,1089300590,413123633,665248632,287844612,313974474,608967494
gaussian,303475842,347999372,480182356,3934167187,273646067,294929614,1254632252,346998083,748218672,305465120,296362181,559683437
