app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,73814024,82161001,80129509,123539955,84881317,75624261,92099682,76141249,84181897,81785041,80602125,92786079
alpha,45760544,49848590,53170505,127663416,41634566,46254619,66134283,51315249,54240629,47092499,43800482,53405215
box,44077261,48072925,59774391,413873796,42328593,44775023,143960142,60351149,89199276,44453306,45523432,80398239
gaussian,47018181,52326216,57713637,264518603,48660922,42128926,98819349,46479449,70586750,43202740,43550707,60831329
