app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,10593641,16650664,16214904,11349182,8714265,10479797,23315983,13667317,19745097,14670541,14843056,15994343
alpha,11272261,10511714,21368429,34646278,16734461,13807945,13023608,13054057,10202803,12025143,16378707,12276050
box,13278224,10742715,12832870,60829271,12848130,11158438,19761890,10795840,5963274,10700899,12053443,14564960
gaussian,9390024,12498672,11589535,76965458,20535718,11114307,22611232,12108884,15483190,12767168,10818411,21220539
