app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,24937847,37209284,36085048,25637558,17967166,21289326,62016795,33618818,44435220,36026757,35827719,36617465
alpha,23718234,23611802,21761750,74919012,43657876,29560074,28010366,30631372,20801348,28037074,37742575,30389105
box,30468831,23669553,29822104,118061970,28280026,26519732,45348306,24467314,13509455,28005459,28480471,30983019
gaussian,24116360,56524111,27539458,179629422,47992366,21985408,50705575,25919642,34141861,29416876,25771652,45478153
