app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,60467270.0,60188895.0,62009864,233072004,59866101.0,62091493,116449632,61801331,76981147,57978200,62375151,65490431
alpha,37394261.0,,45279518,147806952,35207650.0,38323114,70278705,40088995,55022362,57342391,40563029,44587907
box,,45332927.0,49658636,388164235,,39268568,157153281,44594374,105591184,37984078,35403478,62468645
gaussian,31967284.0,72593403.0,44777858,515283670,41031974.0,39023262,181755152,45634413,130583263,25491584,67269902,72260722
