app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,24469177.0,25741288,24835579,41946476,29701193,30667751,33649981,25502707,27133829,23766720,30555531,24361425
alpha,14070111.0,7506984,15309771,38716805,12805231,15127425,22281095,14901815,18807871,18018843,14912655,16031915
box,,17504516,17563415,109100598,6257555,14739256,47090884,17171026,33497979,14227753,17415598,21492448
gaussian,14410161.0,23255885,19735891,79922565,15577744,14606176,37663461,21806293,29837851,6725630,17565840,23124449
