app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,0.209006157,0.194152308,0.207433975,0.434500139,0.270986096,0.240663952,0.34205256,0.210687526,0.232224844,0.131869317,0.255789249,0.144341321
alpha,0.086613948,0.188086832,0.164779635,0.229628963,0.161913535,0.114641105,0.220044224,0.108094334,0.108458336,0.178436968,0.120063496,0.123848466
box,0.191411969,0.174713832,0.180268349,0.574674949,0.187936086,0.117013528,0.382143726,0.092047368,0.303313564,0.084093885,0.191839093,0.193525807
gaussian,0.178134943,0.168067894,0.2505159,0.784689602,0.136409402,0.126299641,0.435180558,0.239125989,0.337594712,0.190281547,0.172677409,0.277268816
