app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,1776446.0,1790281,1809497,2087790,1946332,2953254,2284864,1913379,1817802,1499164,2032395,1846307
alpha,1048662.0,751996,1339357,1368744,2462212,1212378,1371683,1089453,1397031,2880751,1124547,1200667
box,,2786130,1274454,1348168,635188,1249764,1731034,1460948,1253597,934252,1247923,1384349
gaussian,1665470.0,2177722,1879136,1716854,1193968,1172162,2111214,1518915,1702634,610934,5068876,1890562
