app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,0.188337073,0.127540789,0.1628723,0.352956011,0.161871901,0.152395092,0.167575384,0.150185426,0.189432244,0.178963516,0.168087584,0.217153336
alpha,0.120138314,0.116735737,0.075625145,0.336690871,0.103774405,0.102313739,0.172356942,0.099980115,0.142282135,0.101103911,0.117520316,0.130249473
box,0.108858139,0.104290357,0.065266344,0.503974713,0.104553444,0.142730746,0.248766371,0.126505663,0.100456978,0.085582624,0.117150485,0.080004796
gaussian,0.107123602,0.076522606,0.139073828,0.806922984,0.116873991,0.113339874,0.424778175,0.123554879,0.268161575,0.112256628,0.106783515,0.162302667
