app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,66704051,111158786,59120471,405452288,102510466,111798332,216520409,106423400,145056132,44549998,62859249,76293995
alpha,38026613,45205695,100374746,337283630,35385089,35103859,150047651,76937602,137065113,31399599,100797627,63427454
box,126040401,41507673,80250613,761290535,37501898,42587475,268109016,94302442,145845607,69383003,65848047,109598575
gaussian,35341558,68077514,37390051,1207531918,59121098,64035269,403278934,46326406,165817597,39466933,63656538,55169634
