app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,41876497,77055924,48083487,575387410,74958313,78457586,198103501,76145167,120697770,9497669,30434850,52558822
alpha,15948552,36590346,51324186,478887511,33799331,38283106,165999481,54511627,74806859,10892735,42824179,50461824
box,34680233,40293914,51593838,1272019415,22166511,20575346,377423075,40121020,141182294,42732879,47848873,75606512
gaussian,40845788,47113464,22120530,2076188180,45636239,46868022,620926787,37881190,164945595,39418142,47504738,45000381
