app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,2297504,127800,131898,91601,2031250,151418,1273597,266990,143467,212032,2046540,204600
alpha,498426,89274,1753640,82656,66313,65037,370976,1764799,389917,1850872,34479,1221051
box,76687,1636146,56980,107537,1604319,103062,241900,1656863,131494,414035,122747,1393415
gaussian,73003,142882,1286867,524591,25087,118839,296436,90662,172279,80795,2223685,1532598
