app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,66142719,59026705,69994854,259930139,73831014,59712021,250966194,82688572,106925468,59198484,71714083,83644575
alpha,39275058,39791430,59639215,196893139,37723490,40957778,144196057,53653432,93512693,40320899,55175858,66620370
box,42293418,46781781,79947451,609021651,41773963,40067856,306679062,64030251,184375352,46070447,49108778,134155528
gaussian,39162762,42470812,94558062,659471036,43525710,42806258,350341282,63043926,192623977,40342575,33418474,137135594
