app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,231235071,209330257,228954437,663018828,248922425,209112041,695058253,287378489,321861518,203336568,245581348,258971427
alpha,137039307,137094210,189571515,500965133,135654687,135285452,385626380,172157288,258047975,137120449,193824753,202059594
box,149364714,164174921,231055741,1417972965,146351274,140233514,746818779,207898121,451868993,156841737,154167395,359209719
gaussian,138656901,150448875,280808761,1702879244,147202725,142898018,935472195,199684828,528998228,136614791,102702682,380937109
