app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,229951826,218729488,230093584,495808446,228879840,221024562,573940035,283987613,305464718,212283519,226810441,240776095
alpha,128767542,147764151,186896047,380384863,133245576,141885071,300338447,174738143,211507234,149748079,195942473,168829044
box,140650080,153773411,207723134,879780723,157055467,137769475,499367147,176873031,332925371,137230939,140691324,262748523
gaussian,129000575,140283994,215440959,1034500420,140735800,131373268,598245640,169455918,363190983,129872905,129308326,279933622
