app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,38523362,31782566,31765812,44232189,36584111,31549847,60105057,39414792,34484222,32204884,34471811,33427961
alpha,19521023,19234595,27848464,40517035,19542906,19588825,33426689,26918867,27477503,22620238,26796295,24213496
box,21985001,22877453,26829540,117975382,24680989,20313488,65524802,25267137,43980268,21220014,21570073,37716344
gaussian,19571617,20351630,25858168,74517525,22084690,20393311,47829345,22581441,33406413,19974130,15873944,29724971
