app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,13697599,13706068,14511886,50718204,14475276,14662815,24175289,,,13261228,18042638,17458627
alpha,9783107,10061320,10214080,49285098,10045309,10926959,17788970,,25179554.0,14205972,9901085,10476025
box,10329051,10145091,12703710,103378563,12741924,14177913,33973722,,15765210.0,10296696,11468763,17797902
gaussian,10473709,10431980,15117149,111461377,17011324,11200985,38010864,,16872685.0,12320321,22271298,13874334
