app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,131484125,125598571,134664446,731062305,133664831,125475247,259262774,164213400,218088246,124667710,126731322,150211392
alpha,82344758,72092417,93466530,510051710,96830838,71862190,194223217,75229086,95705474,70744896,81421932,113839284
box,72514120,73735049,97326677,1532310260,77378469,85232474,483451278,88696524,167059737,71716400,76872280,125996658
gaussian,76642596,74277832,99638382,1713938103,72484447,72963404,548542659,91694555,206135589,79760955,77502623,125201156
