app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,508426617,418922330,424863158,1616751294,527024899,421063675,722271620,473583763,610294534,439794270,425964918,477208837
alpha,236364353,236835294,277750073,1261650405,320086194,252481743,529500367,230563042,297429075,223630772,264499692,323422703
box,280031398,264952857,311713991,3142812812,279228356,250071182,1082950654,281381174,441002615,241279036,253624600,381295960
gaussian,302973369,257921220,302793639,3875391319,270295955,265827204,1290380264,272433823,534407517,245104140,245371110,357512392
