app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,20317879,21898443,16138268,216862668,16026373,22214605,86046998,23585119,34271630,23090472,21717452,23311699
alpha,16216768,14001987,9549614,174238134,2590469,12990413,54715937,14139885,4881262,14903683,13893745,17842187
box,12826656,14843700,8227525,556665859,28151104,13919160,201234256,17229763,62256252,10202517,18681241,25818052
gaussian,12634029,14108107,18946372,635340438,13879825,13875867,177001183,16108128,54811560,12940450,14810482,13532800
