app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,103102234,151320306,84634432,425115956,79183847,154430445,233351780,158288946,137835618,113983999,150539310,115972678
alpha,63424996,94132322,101290415,330950815,34452115,91037981,159869018,95371855,66630839,65607959,95371899,71722044
box,41423461,94800724,46504145,788705214,113607219,95484744,332966130,99066802,146336262,38554393,125807031,96772450
gaussian,71731968,95930886,80536730,985020294,78251206,95154059,318746528,98541899,121576486,79175649,96108479,63442835
