app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,72114434,81765865,60074610,554068492,58841555,86144995,232569682,85783588,111923384,81701632,84303359,87172186
alpha,55106635,57090906,37702491,433714969,8971788,51634134,152326138,50366410,16957763,49993604,57136818,55196863
box,43070511,54522352,31593602,1284206037,62295487,60282099,472380567,56109903,155871875,40124306,74473613,79633680
gaussian,42880866,55046374,69596421,1625494714,53489236,57380576,468373098,60312365,148497252,52613234,56895276,50791618
