app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,35208792,37478837,26224439.0,164899610,25736444.0,37162005,85199757,37544792,45264523.0,37283072,36823906,39035644
alpha,23694130,23476559,,123173540,,24213272,48907784,24011136,,23398021,22557469,24128979
box,17088025,22410223,15684861.0,366031903,38024026.0,22946188,145906498,24563205,54668384.0,17527888,29531170,32384039
gaussian,22641296,24470095,27266499.0,420173502,25529285.0,22760155,126899666,24052997,47929838.0,21703085,24500520,23701119
