app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,2334246,1071208,1958856.0,1192754,421669.0,1137615,1784991,1172512,1242466.0,1069750,1124204,1929706
alpha,319209,599527,,724315,,663651,576125,606067,,614971,643214,599827
box,350263,603438,934806.0,802882,816338.0,616082,1034139,639412,815645.0,227209,856562,778682
gaussian,638626,645544,729244.0,744892,498326.0,659021,733608,617452,574987.0,608659,643159,572876
