app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,1379498,780350,659860,1096118,1011479,867270,1813944,1025058,1012064,1189386,735661,1373678
alpha,2096117,403805,462142,672687,212843,700802,754805,797629,385998,864754,797615,732303
box,1053891,657845,308531,743356,2881995,529406,1097935,817692,628614,820209,548765,967678
gaussian,916503,608316,615011,1082118,697461,586689,970033,645752,859503,448209,587037,984505
