app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,0.212555988,0.110870824,0.215741077,0.265264394,0.198934948,0.110800207,0.307989686,0.115116346,0.152073934,0.16291621,0.11045855,0.223860671
alpha,0.106980892,0.068566993,0.147936548,0.203329402,0.104997006,0.068317656,0.106689652,0.069444199,0.178633375,0.108086856,0.070162057,0.094366637
box,0.132423769,0.06933059,0.136576272,0.461109963,0.134068664,0.070203286,0.337936436,0.073081293,0.218744883,0.114488347,0.091534008,0.109687249
gaussian,0.123805628,0.070486451,0.104304146,0.571140071,0.128928635,0.070011947,0.271281433,0.071834992,0.16483986,0.073399376,0.072240766,0.147324966
