app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,17391443,18378867,15057902,32256342,13626534,18125955,27128568,18758130,18924178,18603086,18358816,18285899
alpha,5974836,10955584,7713634,32310496,2217664,10015958,15764150,10405490,4115298,10140510,10597102,10920974
box,4906529,9751434,7827494,103962251,11852345,10856599,43102093,10523592,20344386,3695983,13720639,13444477
gaussian,10065080,10827606,11331677,65717043,11895956,10483089,25681871,10395436,14122593,9945627,10649544,11162933
