app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,141947720,129050473,127149259,953206108,149084900,124785366,335515544,142442730,218050244,130320472,149766956,134696144
alpha,76136025,67667630,69421415,892949961,71524644,69402312,249210513,69956974,116807122,65282754,74265667,89271162
box,65532777,67882958,80051683,2618463737,79313985,75334034,813297064,74495899,308005618,66755310,70402377,140350081
gaussian,76160139,72926646,78700098,3007439973,68399185,75854266,746491758,71114175,341714330,66476684,75954199,132772809
