app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,406498660,361998169,385041310,1448120738,423453686,342861532,715135674,402224312,565268617,388920547,426509674,446401089
alpha,207390304,192232989,212348419,1251025815,202418484,186211841,456690225,187187339,304325392,214293635,206694332,228807626
box,182137079,190138538,260701274,2958803619,223989570,207513154,1015703943,199087297,530768005,179077153,197184559,295007664
gaussian,212221744,207033118,252935630,4032441701,195768401,213181665,1133590685,191249089,609214485,187332479,208354395,298204252
