app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,164725640,161869002,143179116,1024356754,150304747,129929572,354157702,132462270,241677630,129154951,133303031,150944832
alpha,73802389,72473791,87129026,800875735,77286876,76931447,318686885,85046813,159774952,72116897,67020215,86671891
box,71980289,80962761,94184700,2620473007,79302925,133225389,703424092,84976419,324471461,82901681,86532087,124246957
gaussian,74700614,89776915,107126889,2843870475,72866273,78386467,753514763,84182079,259809570,81828227,93720264,154310837
