app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,7386627,14825521,9099719,22637786,10624904,7392163,11618369,16641858,8141761,7802474,13971150,3734842
alpha,6515901,9813930,27122821,18148207,6793858,9733820,10858137,2543164,8685133,7617074,7911627,8877683
box,7124469,8038801,8708065,46604854,8069321,7289192,16587597,8411609,9276903,9278548,7289448,6140469
gaussian,4715316,5978712,10247946,51846199,5547076,6865421,18686778,12598481,9571409,6635098,4791093,7213934
