app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,60788277,50866351,66562514,178708693,39713730,53372188,93596922,51762825,76253094,62139916,44025241,69688476
alpha,59142143,45818071,9052505,138158905,43046775,24021962,70645612,52858231,47098744,42910041,56847098,6072300
box,52187616,42954061,57526368,354958585,43027596,39912612,119569711,46599332,95157298,46557176,50381505,66843133
gaussian,47257895,42133315,61165504,441381161,45115771,48937877,146528312,49006629,85260139,44208427,50637211,62553866
