app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,26788477,25356571,29657174.0,58790606,49284647,26373793,35975510,23770131,30831208,27527498,20122410,28402683.0
alpha,25901132,20873419,,44108616,18139997,13441467,25040945,22636834,21462888,23555350,27303976,
box,22855900,31177753,22400426.0,105142662,19157408,19190892,39600621,19618015,32665407,20784318,21730053,26028413.0
gaussian,21025081,19920404,23739258.0,120348531,18483497,28471055,43988879,20083667,31358226,18815629,20569380,25329736.0
