app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,73345459,53035112,65787509,149726069,109602702,57558948,88411806,70921531,71897490,66591670,51560802,68054924
alpha,65721334,46466432,24146084,113205199,50216827,59809642,63830765,47416488,58645360,116937664,69708725,20004551
box,53203299,110496818,51802047,233915882,42635018,40469695,88499020,43781599,74073973,45129258,46452385,54093540
gaussian,44504343,43845731,52025684,280527884,48226217,102901678,114274262,46013731,72447760,46781806,50417315,74373139
