app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,26542118,21935637,29696363,80398276,21903302,21966759,40707536,24553393,33206447,28297110,20830358,31219780
alpha,25472516,21338081,5018185,62878587,17730446,11982879,30903197,22632776,23633879,26131583,27389188,2917193
box,23513429,23878311,25921593,178660732,18247699,18772230,59680022,20676367,44483003,20955387,22106262,31410438
gaussian,20588228,19032561,26797336,187097469,17934109,23452437,61005599,21490205,36229259,18438083,23503160,28171238
