app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,16660799,15192761,20304110,66597332,12352585,15722657,28885153,15963623,23827732,17972621,12183386,20579300
alpha,18184919,14792519,2881348,51862689,10537905,7017274,21029960,15399674,17993637,10943595,19557119,1586338
box,15134090,12902995,18017528,149456839,12024216,13633646,46822874,14635261,33662042,14731053,14681018,22925677
gaussian,14322541,12663534,19230325,166382416,12014589,12624105,50726255,15301034,29050329,11353917,16051106,17898810
