app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,793857,1659033,935954,1045298,726207,1712854,1146859,1705580,851748,883372,1281684,911752
alpha,993468,860960,223743,754472,561429,454207,571090,691769,671999,621521,1114706,165442
box,711247,637349,699157,632165,663524,692458,744939,765794,826248,783456,868008,625246
gaussian,769031,626276,788277,748956,576254,586437,529834,708825,905602,555413,905829,1130198
