app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,213094821,215641565,243606280,729552745,217883910,218946744,470865252,224121432,437564250,217113432,270429072,357091899
alpha,147943521,133160155,154377035,587723470,130186759,135909291,415326877,150759216,315157502,156616571,158898917,248818341
box,131556964,143176387,217886314,1574358998,133409476,136702131,881349202,175067966,515868780,135131569,161931874,321244059
gaussian,132582395,144372690,283819071,1726107308,133359849,137619669,933215319,209855875,528226887,133046500,184106403,386115596
