app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,140329578,143505651,189051723,915080770,143286911,146637070,531073726,165675036,445451746,139853793,188464729,319977053
alpha,102686675,92900453,126733140,838611508,86497604,89491285,536989518,113873849,351416194,105231030,115062051,240382352
box,89396668,106924017,223527911,2391114376,88505992,96286483,1288540153,155650247,703278094,93345735,129442580,382111133
gaussian,90175650,104538148,310239705,2574948194,87217961,98951214,1340277345,196331710,701039137,91256088,154261118,477365038
