app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,228393438,240584465,278941330,1066174033,237260004,233381309,647883606,254265191,558610272,231597400,284115287,425367206
alpha,158585536,145271226,186641440,981738222,139181790,143893768,645960158,173008337,444330152,164403066,175944723,319334167
box,143342245,161772135,300999268,2831253846,142610928,151585081,1540138319,222597041,853156774,145804012,191749928,484966263
gaussian,143012024,160791763,383167534,2846443558,142732024,150452727,1497817162,259457739,813866298,146742116,214554550,564258103
