app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,664164999,643220666,694849164,1641383972,621903103,682594778,1180778278,659854861,1042000372,636417919,709771180,871103949
alpha,376873330,367732216,410661442,1468456283,369222045,387968730,997429398,407311896,770497304,439945406,419671410,611720599
box,402439211,390589315,546254454,3226496272,350712051,416451886,1837765429,457751748,1128864406,392818838,425217161,737691628
gaussian,391246596,398870799,696174411,3969255204,393689138,417600294,2155644950,522735144,1261551399,400641394,464316650,923508161
