app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,0.079971769,0.110187954,0.054545641,0.112031047,0.096630366,0.097652078,0.06485172,0.092824104,0.059042283,0.088861507,0.065352219,0.055224352
alpha,0.078345721,0.066636432,0.040800805,0.234792175,0.049350457,0.069024023,0.067270811,0.055460895,0.040180427,0.052590594,0.061126247,0.041201264
box,0.055387686,0.052156008,0.043337729,0.212734515,0.05323022,0.078578181,0.067313395,0.081581191,0.046830741,0.056453731,0.099803419,0.044920319
gaussian,0.082796903,0.079238516,0.042273726,0.373890813,0.067586685,0.062194625,0.200001761,0.087902087,0.046586324,0.056433898,0.06989611,0.042961186
