app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,13964791,13952864,12179213,86862247,12729174,13302077,24534399,14153150,18558058,14711473,12884819,14196272
alpha,10277422,12867735,9500868,48396635,8758010,11475940,32438583,9216891,10706364,9713886,12607685,10076942
box,8867016,9583298,13278903,143231249,10217414,4371475,43104555,9870018,16807384,8166547,7389334,13368648
gaussian,9492715,5516674,10575758,233656372,9537441,9479467,81760167,13473382,17648022,9622697,9880770,13825064
