app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,21150659,27556235,22008922,100714265,20308700,21211410,33938443,21891175,27447867,25285970,19239392,22147622
alpha,14685638,14506895,14109737,60733714,14245949,15860876,43247315,15546985,15894452,13864679,18051874,17304592
box,13891747,14689124,17469574,173880653,15795148,7453408,54326881,13821264,23661085,13903538,11774123,19279531
gaussian,12728693,8434803,17681808,260320179,14141343,14121233,119320896,19615954,25426545,14297525,15101335,20864034
