app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,43565801,62679095,51477332,212585858,47196099,41872533,75724168,50331069,56101922,56447669,44111777,47980419
alpha,29820594,33141435,28596650,128190316,33041027,37357827,90644561,35327560,42965241,30560322,38593629,40465830
box,30698145,30743286,34738712,339427850,32185675,14562490,104875185,23158299,55034149,32880373,14838666,45342208
gaussian,31192762,19973313,41018267,606387296,30549787,33709479,331509454,44582206,56209053,31360761,33783268,48020865
