app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,50449025,91262946,71062574,173289704,53841015,50557145,87566468,57015484,80269835,66783765,56668223,71941140
alpha,34014497,44155921,47950254,108560747,40027777,42670740,98514311,39904595,54178275,36739513,47005877,52185664
box,35686802,41258446,53039974,210491878,40897764,38447543,90386282,47307813,63123459,36728630,44700414,57537883
gaussian,37970869,23831381,50815431,355845769,35752255,37587332,333002623,47616943,59802266,36418144,37591015,57600272
