app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,0.124834915,0.133847401,0.138298151,0.270117836,0.125429936,0.128409033,0.200350263,0.140869476,0.162537751,0.124661603,0.133963321,0.145427667
alpha,0.0844606,0.104373217,0.087651285,0.345823688,0.087214258,0.112923819,0.254274451,0.087677826,0.112830639,0.077619016,0.082256203,0.110912339
box,0.084200451,0.085683555,0.103402487,0.463996178,0.080265298,0.080054426,0.275663113,0.09244017,0.191323277,0.083200272,0.086614417,0.127059334
gaussian,0.086783446,0.085417241,0.112271508,0.573283707,0.092257476,0.082658715,0.34415845,0.095988303,0.202796014,0.089769576,0.091775096,0.143810664
