app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,0.313793926,0.23057958,0.240459217,0.806226062,0.222636422,0.220332641,0.395170469,0.231660796,0.268751339,0.227814967,0.223248009,0.293041226
alpha,0.128654197,0.131880151,0.127589234,0.656288685,0.12468616,0.139695708,0.268725098,0.128775169,0.168856145,0.131190711,0.21846828,0.135647656
box,0.129391588,0.127063006,0.151016247,1.662948537,0.170376396,0.188362419,0.523304316,0.13473606,0.22933832,0.123429159,0.124567428,0.153768385
gaussian,0.128590063,0.125012866,0.133857751,2.098744582,0.126127881,0.130057865,0.641064142,0.134718474,0.257393105,0.123422741,0.130620772,0.158571252
