app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,0.158524471,0.054834639,0.141517144,0.179085837,0.052206546,0.1476995,0.07227432,0.056113308,0.139736921,0.053304223,0.054962681,0.063726986
alpha,0.040210942,0.041598189,0.039606388,0.18121205,0.040246129,0.041634939,0.054319559,0.039694183,0.045380198,0.038403556,0.041184604,0.044283557
box,0.107386011,0.039261058,0.054107801,0.135075924,0.037760004,0.037491804,0.08738211,0.039868893,0.062854875,0.036590605,0.046147617,0.049776826
gaussian,0.036857732,0.043225693,0.045771654,0.163062566,0.039393318,0.044953239,0.203048666,0.041206478,0.070819421,0.050698795,0.042304316,0.052890664
