app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,0.046338672,0.047194069,0.047383975,0.078338751,0.040217435,0.042368349,0.050161142,0.05110441,0.04640199,0.03997773,0.041946095,0.045226818
alpha,0.02907518,0.034935588,0.036938794,0.061053391,0.027718908,0.031755547,0.038340462,0.032633987,0.035148929,0.034477514,0.02991511,0.043065004
box,0.027755081,0.030042585,0.037502581,0.135062069,0.028318864,0.0327863,0.071647866,0.03885235,0.044007709,0.034232765,0.036347835,0.043391654
gaussian,0.028747048,0.03115571,0.034727369,0.156727337,0.02803974,0.036134638,0.060104588,0.038377502,0.043863066,0.027933045,0.031599783,0.041314115
