app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,0.027505152,0.028077599,0.028812388,0.065210055,0.031470049,0.030343873,0.03911635,0.031808674,0.031534464,0.040183563,0.030546199,0.035290965
alpha,0.020774283,0.019898068,0.024152146,0.051927536,0.020924532,0.022243519,0.031113589,0.029382885,0.022679159,0.022560448,0.022048311,0.020851995
box,0.020512426,0.020407921,0.020490532,0.115425214,0.02854142,0.020071941,0.04538311,0.020833519,0.028611085,0.019756655,0.020005946,0.0236298
gaussian,0.025159297,0.022749994,0.025497308,0.145092134,0.020739026,0.020615563,0.053160413,0.020832938,0.030224004,0.019144153,0.020891557,0.023108611
