app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,0.022849216,0.021681098,0.023166574,0.035726668,0.022872551,0.021022766,0.026481065,0.02288333,0.02262115,0.033406977,0.021651634,0.023610199
alpha,0.017567992,0.018389045,0.018816642,0.092062588,0.020337086,0.028422699,0.078866358,0.017078258,0.018392548,0.017237519,0.020478831,0.018960723
box,0.020398918,0.016623293,0.01786989,0.046998459,0.018413833,0.058999656,0.093908705,0.017614066,0.02377761,0.027977878,0.019043835,0.021539941
gaussian,0.018575704,0.017151793,0.021270151,0.055038282,0.021880591,0.019948303,0.02784401,0.017287101,0.024859985,0.019602361,0.018857165,0.021470232
