app,1024x1024,128x128,16x16,1x1,2048x2048,256x256,2x2,32x32,4x4,512x512,64x64,8x8
add,0.230318207,0.236092246,0.239817663,0.863409616,0.254783447,0.242993016,0.409065724,0.254497079,0.277382479,0.238406228,0.236534654,0.248389446
alpha,0.144744272,0.136328651,0.137967144,0.651486373,0.14908672,0.131058411,0.274035389,0.135308726,0.173540327,0.129756375,0.137904606,0.141422131
box,0.131878101,0.143324816,0.147675066,1.665839082,0.134869066,0.133873564,0.534959365,0.141173303,0.23404478,0.12950116,0.137608781,0.160925234
gaussian,0.132146868,0.138982207,0.148645989,2.094884073,0.130447108,0.131112066,0.638169169,0.218966156,0.265301039,0.129898706,0.138633196,0.165389943
